,,weights,values,capacity,distribution
0,0,16,40,3671,exponential
0,1,51,38,3671,exponential
0,2,43,24,3671,exponential
0,3,45,22,3671,exponential
0,4,25,76,3671,exponential
0,5,9,14,3671,exponential
0,6,2,14,3671,exponential
0,7,22,39,3671,exponential
0,8,49,5,3671,exponential
0,9,25,33,3671,exponential
0,10,19,24,3671,exponential
0,11,19,60,3671,exponential
0,12,5,28,3671,exponential
0,13,2,2,3671,exponential
0,14,56,9,3671,exponential
0,15,22,167,3671,exponential
0,16,0,44,3671,exponential
0,17,9,5,3671,exponential
0,18,31,1,3671,exponential
0,19,12,8,3671,exponential
0,20,11,22,3671,exponential
0,21,70,37,3671,exponential
0,22,33,12,3671,exponential
0,23,52,28,3671,exponential
0,24,5,58,3671,exponential
0,25,31,4,3671,exponential
0,26,22,34,3671,exponential
0,27,2,27,3671,exponential
0,28,47,6,3671,exponential
0,29,28,35,3671,exponential
0,30,28,59,3671,exponential
0,31,35,52,3671,exponential
0,32,39,31,3671,exponential
0,33,31,17,3671,exponential
0,34,19,29,3671,exponential
0,35,51,61,3671,exponential
0,36,3,3,3671,exponential
0,37,4,43,3671,exponential
0,38,47,28,3671,exponential
0,39,0,19,3671,exponential
0,40,108,17,3671,exponential
0,41,1,67,3671,exponential
0,42,102,19,3671,exponential
0,43,59,58,3671,exponential
0,44,1,104,3671,exponential
0,45,14,6,3671,exponential
0,46,33,24,3671,exponential
0,47,2,26,3671,exponential
0,48,55,45,3671,exponential
0,49,41,3,3671,exponential
0,50,25,2,3671,exponential
0,51,7,38,3671,exponential
0,52,28,6,3671,exponential
0,53,13,38,3671,exponential
0,54,81,0,3671,exponential
0,55,34,58,3671,exponential
0,56,28,48,3671,exponential
0,57,47,5,3671,exponential
0,58,42,40,3671,exponential
0,59,72,36,3671,exponential
0,60,156,42,3671,exponential
0,61,8,4,3671,exponential
0,62,83,14,3671,exponential
0,63,3,153,3671,exponential
0,64,32,46,3671,exponential
0,65,41,2,3671,exponential
0,66,13,91,3671,exponential
0,67,11,31,3671,exponential
0,68,33,27,3671,exponential
0,69,34,50,3671,exponential
0,70,33,4,3671,exponential
0,71,9,70,3671,exponential
0,72,36,15,3671,exponential
0,73,16,32,3671,exponential
0,74,57,26,3671,exponential
