,,weights,values,capacity,distribution,instance_id
0,0,19,71,2717,uniform,0
0,1,6,67,2717,uniform,0
0,2,13,70,2717,uniform,0
0,3,8,53,2717,uniform,0
0,4,11,73,2717,uniform,0
0,5,15,68,2717,uniform,0
0,6,10,86,2717,uniform,0
0,7,11,85,2717,uniform,0
0,8,17,66,2717,uniform,0
0,9,62,92,2717,uniform,0
0,10,18,83,2717,uniform,0
0,11,8,59,2717,uniform,0
0,12,13,97,2717,uniform,0
0,13,12,51,2717,uniform,0
0,14,5,63,2717,uniform,0
0,15,16,91,2717,uniform,0
0,16,18,77,2717,uniform,0
0,17,8,70,2717,uniform,0
0,18,23,73,2717,uniform,0
0,19,22,73,2717,uniform,0
0,20,65,74,2717,uniform,0
0,21,8,97,2717,uniform,0
0,22,8,74,2717,uniform,0
0,23,18,89,2717,uniform,0
0,24,6,86,2717,uniform,0
0,25,16,79,2717,uniform,0
0,26,12,93,2717,uniform,0
0,27,8,50,2717,uniform,0
0,28,11,82,2717,uniform,0
0,29,1,64,2717,uniform,0
0,30,1,86,2717,uniform,0
0,31,3,82,2717,uniform,0
0,32,11,89,2717,uniform,0
0,33,75,72,2717,uniform,0
0,34,21,99,2717,uniform,0
0,35,19,62,2717,uniform,0
0,36,11,76,2717,uniform,0
0,37,9,96,2717,uniform,0
0,38,14,88,2717,uniform,0
0,39,3,91,2717,uniform,0
0,40,16,64,2717,uniform,0
0,41,4,67,2717,uniform,0
0,42,1,73,2717,uniform,0
0,43,16,59,2717,uniform,0
0,44,9,72,2717,uniform,0
0,45,79,72,2717,uniform,0
0,46,16,78,2717,uniform,0
0,47,4,75,2717,uniform,0
0,48,21,99,2717,uniform,0
0,49,13,71,2717,uniform,0
0,50,8,51,2717,uniform,0
0,51,20,80,2717,uniform,0
0,52,19,77,2717,uniform,0
0,53,15,84,2717,uniform,0
0,54,12,79,2717,uniform,0
0,55,12,90,2717,uniform,0
0,56,24,86,2717,uniform,0
0,57,1,90,2717,uniform,0
0,58,54,97,2717,uniform,0
0,59,10,65,2717,uniform,0
0,60,14,56,2717,uniform,0
0,61,14,62,2717,uniform,0
0,62,23,78,2717,uniform,0
0,63,18,65,2717,uniform,0
0,64,88,97,2717,uniform,0
0,65,21,72,2717,uniform,0
0,66,1,69,2717,uniform,0
0,67,22,83,2717,uniform,0
0,68,24,78,2717,uniform,0
0,69,3,58,2717,uniform,0
0,70,5,81,2717,uniform,0
0,71,22,81,2717,uniform,0
0,72,14,56,2717,uniform,0
0,73,77,55,2717,uniform,0
0,74,91,98,2717,uniform,0
0,75,24,76,2717,uniform,0
0,76,11,57,2717,uniform,0
0,77,19,74,2717,uniform,0
0,78,22,52,2717,uniform,0
0,79,18,75,2717,uniform,0
0,80,12,72,2717,uniform,0
0,81,4,58,2717,uniform,0
0,82,21,66,2717,uniform,0
0,83,19,83,2717,uniform,0
0,84,8,80,2717,uniform,0
0,85,17,51,2717,uniform,0
0,86,20,53,2717,uniform,0
0,87,64,77,2717,uniform,0
0,88,17,99,2717,uniform,0
0,89,5,53,2717,uniform,0
0,90,16,69,2717,uniform,0
0,91,18,82,2717,uniform,0
0,92,68,93,2717,uniform,0
0,93,11,69,2717,uniform,0
0,94,15,64,2717,uniform,0
0,95,10,61,2717,uniform,0
0,96,23,56,2717,uniform,0
0,97,4,74,2717,uniform,0
0,98,20,88,2717,uniform,0
0,99,3,85,2717,uniform,0
1,0,4,77,3170,uniform,1
1,1,5,80,3170,uniform,1
1,2,8,57,3170,uniform,1
1,3,18,53,3170,uniform,1
1,4,13,60,3170,uniform,1
1,5,16,98,3170,uniform,1
1,6,22,68,3170,uniform,1
1,7,21,66,3170,uniform,1
1,8,17,54,3170,uniform,1
1,9,8,85,3170,uniform,1
1,10,24,61,3170,uniform,1
1,11,99,82,3170,uniform,1
1,12,15,62,3170,uniform,1
1,13,3,79,3170,uniform,1
1,14,18,82,3170,uniform,1
1,15,24,59,3170,uniform,1
1,16,15,90,3170,uniform,1
1,17,70,88,3170,uniform,1
1,18,9,96,3170,uniform,1
1,19,4,70,3170,uniform,1
1,20,12,83,3170,uniform,1
1,21,20,96,3170,uniform,1
1,22,8,65,3170,uniform,1
1,23,10,77,3170,uniform,1
1,24,12,95,3170,uniform,1
1,25,20,55,3170,uniform,1
1,26,6,86,3170,uniform,1
1,27,17,98,3170,uniform,1
1,28,3,73,3170,uniform,1
1,29,23,81,3170,uniform,1
1,30,23,93,3170,uniform,1
1,31,7,80,3170,uniform,1
1,32,2,87,3170,uniform,1
1,33,2,59,3170,uniform,1
1,34,5,94,3170,uniform,1
1,35,4,86,3170,uniform,1
1,36,16,70,3170,uniform,1
1,37,11,79,3170,uniform,1
1,38,1,77,3170,uniform,1
1,39,69,87,3170,uniform,1
1,40,22,55,3170,uniform,1
1,41,1,61,3170,uniform,1
1,42,16,53,3170,uniform,1
1,43,9,70,3170,uniform,1
1,44,6,51,3170,uniform,1
1,45,78,87,3170,uniform,1
1,46,16,59,3170,uniform,1
1,47,17,59,3170,uniform,1
1,48,19,88,3170,uniform,1
1,49,3,68,3170,uniform,1
1,50,4,60,3170,uniform,1
1,51,12,58,3170,uniform,1
1,52,24,78,3170,uniform,1
1,53,9,66,3170,uniform,1
1,54,19,91,3170,uniform,1
1,55,22,69,3170,uniform,1
1,56,13,92,3170,uniform,1
1,57,23,83,3170,uniform,1
1,58,63,62,3170,uniform,1
1,59,91,59,3170,uniform,1
1,60,17,59,3170,uniform,1
1,61,14,53,3170,uniform,1
1,62,13,78,3170,uniform,1
1,63,5,53,3170,uniform,1
1,64,12,65,3170,uniform,1
1,65,16,79,3170,uniform,1
1,66,16,87,3170,uniform,1
1,67,65,85,3170,uniform,1
1,68,14,55,3170,uniform,1
1,69,24,86,3170,uniform,1
1,70,9,78,3170,uniform,1
1,71,6,97,3170,uniform,1
1,72,14,79,3170,uniform,1
1,73,20,77,3170,uniform,1
1,74,95,94,3170,uniform,1
1,75,16,62,3170,uniform,1
1,76,12,59,3170,uniform,1
1,77,19,52,3170,uniform,1
1,78,9,53,3170,uniform,1
1,79,7,76,3170,uniform,1
1,80,13,88,3170,uniform,1
1,81,21,57,3170,uniform,1
1,82,4,83,3170,uniform,1
1,83,16,61,3170,uniform,1
1,84,5,72,3170,uniform,1
1,85,2,52,3170,uniform,1
1,86,7,97,3170,uniform,1
1,87,14,77,3170,uniform,1
